Idiom ID,English Idiom,English Sentence,Urdu Native Idiom,Target A (Native Idiomatic),Target B (Native Descriptive),Target C (Native Literal),Roman Urdu Idiom,Target A (Roman Idiomatic),Target B (Roman Descriptive),Target C (Roman Literal)
120,have the heart,I don't have the heart to tell her the bad news.,میرا دل نہیں مانتا,میں اسے بری خبر بتانے کے لیے میرا دل نہیں مانتا۔,میں اسے بری خبر بتانے کے لیے تیار نہیں ہوں۔,میرے پاس دل نہیں ہے کہ میں اسے بری خبر بتاؤں۔,mera dil nahi maanta,main usay buri khabar batane ke liye mera dil nahi maanta.,main usay buri khabar batane ke liye tayyar nahi hoon.,mere paas dil nahi hai ke main usay buri khabar bataoon.
121,hit a snag,We were making good progress on the project until we hit a snag with the budget approval.,کام اٹک جانا,ہم منصوبے پر اچھی پیش رفت کر رہے تھے لیکن بجٹ کی منظوری میں کام اٹک جانا پڑ گیا۔,ہم منصوبے پر اچھی پیش رفت کر رہے تھے لیکن بجٹ کی منظوری میں ایک مسئلہ پیش آ گیا۔,ہم منصوبے پر اچھی پیش رفت کر رہے تھے لیکن ہم بجٹ کی منظوری سے ایک رکاوٹ کو مارا۔,Kaam atak jana,Hum mansoobay par achi paish raft kar rahe thay lekin budget ki manzoori mein Kaam atak jana par gaya.,Hum mansoobay par achi paish raft kar rahe thay lekin budget ki manzoori mein aik masla paish aa gaya.,Hum mansoobay par achi paish raft kar rahe thay lekin hum budget ki manzoori se aik rukaawat ko maara.
122,hit the books,"I have a big exam next week, so I need to hit the books this weekend.",کتابوں کے کیڑے بن جانا,"میرا اگلے ہفتے بڑا امتحان ہے، اس لیے اس ہفتے کے آخر میں مجھے کتابوں کے کیڑے بن جانا ہوگا۔","میرا اگلے ہفتے بڑا امتحان ہے، اس لیے اس ہفتے کے آخر میں مجھے خوب محنت سے پڑھنا ہوگا۔","میرا اگلے ہفتے بڑا امتحان ہے، اس لیے اس ہفتے کے آخر میں مجھے کتابوں کو مارنا ہوگا۔",kitabon ke keere ban jana,"Mera aglay haftay bara imtihan hai, is liye is haftay ke aakhir mein mujhe kitabon ke keere ban jana hoga.","Mera aglay haftay bara imtihan hai, is liye is haftay ke aakhir mein mujhe khoob mehnat se parhna hoga.","Mera aglay haftay bara imtihan hai, is liye is haftay ke aakhir mein mujhe kitabon ko marna hoga."
123,hit the bottle,"After losing his job, he started to hit the bottle every night.",شراب کے نشے میں ڈوب جانا,نوکری کھونے کے بعد وہ ہر رات شراب کے نشے میں ڈوب جانا شروع کر دیا۔,نوکری کھونے کے بعد وہ ہر رات بہت زیادہ شراب پینے لگا۔,نوکری کھونے کے بعد وہ ہر رات بوتل کو مارنے لگا۔,sharaab ke nashe mein doob jana,Naukri khone ke baad woh har raat sharaab ke nashe mein doob jana shuru kar diya.,Naukri khone ke baad woh har raat bohat zyada sharaab peene laga.,Naukri khone ke baad woh har raat bottle ko maarne laga.
124,hit the ceiling,"When she found out about the betrayal, she hit the ceiling.",آگ بگولا ہونا,جب اسے دھوکے کا پتا چلا تو وہ آگ بگولا ہو گئی۔,جب اسے دھوکے کا پتا چلا تو وہ بہت غصے میں آ گئی۔,جب اسے دھوکے کا پتا چلا تو وہ چھت سے ٹکرا گئی۔,Aag bagola hona,Jab usay dhokay ka pata chala to woh Aag bagola ho gayi.,Jab usay dhokay ka pata chala to woh bohat gusse mein aa gayi.,Jab usay dhokay ka pata chala to woh chhat se takra gayi.
125,hit the headlines,The scandal involving the celebrity hit the headlines and shocked everyone.,اخباروں کی زینت بننا,مشہور شخصیت سے متعلق اسکینڈل اخباروں کی زینت بنا اور سب کو حیران کر گیا۔,مشہور شخصیت کے اسکینڈل کی خبر اچانک عوام کے علم میں آئی اور سب حیران رہ گئے۔,مشہور شخصیت کے اسکینڈل نے سرخیوں کو مارا اور سب چونک گئے۔,akhbaron ki zeenat banna,Mashhoor shakhsiyat se mutaliq scandal akhbaron ki zeenat bana aur sab ko hairan kar gaya.,Mashhoor shakhsiyat ke scandal ki khabar achanak awam ke ilm mein aayi aur sab hairan reh gaye.,Mashhoor shakhsiyat ke scandal ne sarkhiyon ko maara aur sab chonk gaye.
126,hit the jackpot,"After years of hard work, she finally hit the jackpot with her new business.",قسمت کا ستارہ چمک اٹھنا,"سالوں کی محنت کے بعد، آخرکار اس کا قسمت کا ستارہ چمک اٹھا جب اس کا نیا کاروبار کامیاب ہوا۔","سالوں کی محنت کے بعد، آخرکار اس نے اپنے نئے کاروبار میں بہت بڑی کامیابی حاصل کی۔","سالوں کی محنت کے بعد، آخرکار اس نے جیک پاٹ مارا اپنے نئے کاروبار کے ساتھ۔",Qismat ka sitara chamak uthna,"Saalon ki mehnat ke baad, aakhirkar uska Qismat ka sitara chamak uthna jab uska naya karobar kamyab hua.","Saalon ki mehnat ke baad, aakhirkar us ne apne naye karobar mein bohat badi kamyabi hasil ki.","Saalon ki mehnat ke baad, aakhirkar us ne jackpot maara apne naye karobar ke saath."
127,hit the road,"It's getting late, so we should hit the road before it gets dark.",نکلنا چاہیے,"دیر ہو رہی ہے، ہمیں اندھیرا ہونے سے پہلے نکلنا چاہیے۔","دیر ہو رہی ہے، ہمیں اندھیرا ہونے سے پہلے سفر شروع کرنا چاہیے۔","دیر ہو رہی ہے، ہمیں اندھیرا ہونے سے پہلے سڑک کو مارنا چاہیے۔",nikalna chahiye,"Der ho rahi hai, humein andhera hone se pehle nikalna chahiye.","Der ho rahi hai, humein andhera hone se pehle safar shuru karna chahiye.","Der ho rahi hai, humein andhera hone se pehle sadak ko marna chahiye."
128,hit the roof,"When he found out about the missing money, he really hit the roof.",آگ بگولا ہونا,جب اسے گمشدہ رقم کے بارے میں پتا چلا تو وہ آگ بگولا ہو گیا۔,جب اسے گمشدہ رقم کے بارے میں معلوم ہوا تو وہ بہت زیادہ غصے میں آ گیا۔,جب اسے گمشدہ رقم کے بارے میں پتا چلا تو وہ واقعی چھت پر جا لگا۔,Aag bagola hona,Jab usay gumshuda raqam ke bare mein pata chala to woh Aag bagola hona gaya.,Jab usay gumshuda raqam ke bare mein maloom hua to woh bohat zyada gusse mein aa gaya.,Jab usay gumshuda raqam ke bare mein pata chala to woh waqai chhat par ja laga.
129,hit the sack,"After a long day at work, I can't wait to hit the sack and get some sleep.",بستر پر گرنے,"کام کے لمبے دن کے بعد، میں بے تاب ہوں کہ بستر پر گرنے اور کچھ نیند لینے کے لیے۔","کام کے لمبے دن کے بعد، میں بے تاب ہوں کہ سونے کے لیے بستر پر جاؤں اور کچھ آرام کروں۔","کام کے لمبے دن کے بعد، میں بے تاب ہوں کہ بوری کو ماروں اور کچھ نیند لوں۔",bistar par girne,"Kaam ke lambe din ke baad, main be taab hoon ke bistar par girne aur kuch neend lene ke liye.","Kaam ke lambe din ke baad, main be taab hoon ke sonay ke liye bistar par jaoon aur kuch aaram karoon.","Kaam ke lambe din ke baad, main be taab hoon ke bori ko maaroon aur kuch neend loon."
130,hit the sauce,"After a long week at work, he decided to hit the sauce with his friends at the bar.",جم کر پینے,"کام کے طویل ہفتے کے بعد، اس نے اپنے دوستوں کے ساتھ بار میں جم کر پینے کا فیصلہ کیا۔","کام کے طویل ہفتے کے بعد، اس نے اپنے دوستوں کے ساتھ بار میں خوب شراب پینے کا فیصلہ کیا۔","کام کے طویل ہفتے کے بعد، اس نے اپنے دوستوں کے ساتھ بار میں چٹنی کو مارنے کا فیصلہ کیا۔",jam kar peene,"Kaam ke taweel hafte ke baad, us ne apne doston ke saath bar mein jam kar peene ka faisla kiya.","Kaam ke taweel hafte ke baad, us ne apne doston ke saath bar mein khoob sharaab peene ka faisla kiya.","Kaam ke taweel hafte ke baad, us ne apne doston ke saath bar mein chutney ko maarne ka faisla kiya."
131,hit the spot,"After a long hike, that cold drink really **hit the spot**.",دل کو بھا جانا,لمبی پیدل سفر کے بعد وہ ٹھنڈا مشروب واقعی دل کو بھا گیا۔,لمبی پیدل سفر کے بعد وہ ٹھنڈا مشروب بالکل صحیح لگا۔,لمبی پیدل سفر کے بعد وہ ٹھنڈا مشروب واقعی جگہ پر لگا۔,dil ko bha jana,Lambi paidal safar ke baad woh thanda mashroob waqai dil ko bha gaya.,Lambi paidal safar ke baad woh thanda mashroob bilkul sahi laga.,Lambi paidal safar ke baad woh thanda mashroob waqai jagah par laga.
132,hitch a ride,I decided to hitch a ride to the concert instead of driving myself.,لفٹ لینے,میں نے خود گاڑی چلانے کے بجائے کنسرٹ جانے کے لیے لفٹ لینے کا فیصلہ کیا۔,میں نے خود گاڑی چلانے کے بجائے کنسرٹ جانے کے لیے کسی سے سواری حاصل کرنے کا فیصلہ کیا۔,میں نے خود گاڑی چلانے کے بجائے کنسرٹ جانے کے لیے سواری کو باندھنے کا فیصلہ کیا۔,lift lene,Main ne khud gaari chalanay ke bajaye concert janay ke liye lift lene ka faisla kiya.,Main ne khud gaari chalanay ke bajaye concert janay ke liye kisi se sawari hasil karne ka faisla kiya.,Main ne khud gaari chalanay ke bajaye concert janay ke liye sawari ko baandhne ka faisla kiya.
133,hold the aces,"In this negotiation, she really holds the aces and can dictate the terms.",ڈورین اپنے ہاتھ میں ہونا,"اس مذاکرات میں، واقعی وہ ڈورین اپنے ہاتھ میں ہونا رکھتی ہے اور شرائط طے کر سکتی ہے۔","اس مذاکرات میں، وہ مکمل طور پر قابو میں ہے اور اپنی مرضی کی شرائط طے کر سکتی ہے۔","اس مذاکرات میں، وہ واقعی پتے اپنے ہاتھ میں پکڑے ہوئے ہے اور شرائط بتا سکتی ہے۔",Dorian apne haath mein hona,"Is muzakraat mein, waqai woh Dorian apne haath mein hona rakhti hai aur sharaait tay kar sakti hai.","Is muzakraat mein, woh mukammal tor par qaboo mein hai aur apni marzi ki sharaait tay kar sakti hai.","Is muzakraat mein, woh waqai patay apne haath mein pakray hue hai aur sharaait bata sakti hai."
134,hold (down) the fort,"While the manager is away on vacation, I will hold down the fort at the office.",مورچہ سنبھالوں گا,جب مینیجر چھٹی پر ہوگا تو میں دفتر میں مورچہ سنبھالوں گا۔,جب مینیجر چھٹی پر ہوگا تو میں دفتر کے تمام کاموں کی دیکھ بھال کروں گا۔,جب مینیجر چھٹی پر ہوگا تو میں قلعہ تھامے رکھوں گا۔,morcha sambhaalunga,Jab manager chhutti par hoga to main daftar mein morcha sambhaalunga.,Jab manager chhutti par hoga to main daftar ke tamam kaamon ki dekh bhaal karunga.,Jab manager chhutti par hoga to main qila thaame rakhunga.
135,hold your horses,"Before you make any decisions, you should really hold your horses and think it over.",ذرا صبر کرنا چاہیے,"کوئی فیصلہ کرنے سے پہلے، تمہیں ذرا صبر کرنا چاہیے اور اچھی طرح سوچنا چاہیے۔","فیصلہ کرنے سے پہلے، تمہیں رک کر اچھی طرح غور کرنا چاہیے۔","فیصلہ کرنے سے پہلے، تمہیں اپنے گھوڑے پکڑنے چاہییں اور سوچنا چاہیے۔",zara sabar karna chahiye,"Koi faisla karne se pehle, tumhe zara sabar karna chahiye aur achhi tarah sochna chahiye.","Faisla karne se pehle, tumhe ruk kar achhi tarah ghour karna chahiye.","Faisla karne se pehle, tumhe apne ghoday pakarne chahiye aur sochna chahiye."
136,horse of another color,"When it comes to discussing the budget, that's a horse of another color.",ایک الگ ہی کہانی ہے,جب بات بجٹ پر گفتگو کی آتی ہے تو وہ ایک الگ ہی کہانی ہے۔,جب بات بجٹ پر گفتگو کی آتی ہے تو معاملہ بالکل مختلف ہوتا ہے۔,جب بات بجٹ پر گفتگو کی آتی ہے تو وہ ایک مختلف رنگ کا گھوڑا ہے۔,ek alag hi kahani hai,Jab baat budget par guftagu ki aati hai to woh ek alag hi kahani hai.,Jab baat budget par guftagu ki aati hai to maamla bilkul mukhtalif hota hai.,Jab baat budget par guftagu ki aati hai to woh ek mukhtalif rang ka ghora hai.
137,in a pickle,"After forgetting my wallet at home, I found myself **in a pickle** when it was time to pay for dinner.",مشکل میں پھنس جانا,جب میں اپنا بٹوا گھر بھول گیا تو کھانے کی قیمت ادا کرنے کے وقت میں واقعی مشکل میں پھنس گیا۔,جب میں اپنا بٹوا گھر بھول گیا تو کھانے کی قیمت ادا کرنے کے وقت میں ایک پریشان کن صورتحال میں تھا۔,جب میں اپنا بٹوا گھر بھول گیا تو کھانے کی قیمت ادا کرنے کے وقت میں اچار میں تھا۔,mushkil mein phans jana,Jab main apna batwa ghar bhool gaya to khanay ki qeemat ada karne ke waqt main waqai mushkil mein phans gaya.,Jab main apna batwa ghar bhool gaya to khanay ki qeemat ada karne ke waqt main aik pareshan kun soorat-e-haal mein tha.,Jab main apna batwa ghar bhool gaya to khanay ki qeemat ada karne ke waqt main achar mein tha.
138,in hot water,"After missing the deadline, she found herself in hot water with her boss.",مصیبت میں پھنسنا,"ڈیڈ لائن مس کرنے کے بعد، وہ اپنے باس کے ساتھ مصیبت میں پھنس گئی۔","ڈیڈ لائن مس کرنے کے بعد، وہ اپنے باس کے ساتھ مشکل میں پڑ گئی۔","ڈیڈ لائن مس کرنے کے بعد، وہ اپنے باس کے ساتھ گرم پانی میں تھی۔",Museebat mein phansna,"Deadline miss karne ke baad, woh apne boss ke saath Museebat mein phans gayi.","Deadline miss karne ke baad, woh apne boss ke saath mushkil mein par gayi.","Deadline miss karne ke baad, woh apne boss ke saath garam paani mein thi."
139,in seventh heaven,"After winning the lottery, she was in seventh heaven.",آسمانوں پر ہونا,لاٹری جیتنے کے بعد وہ آسمانوں پر تھی۔,لاٹری جیتنے کے بعد وہ بے حد خوش اور مطمئن تھی۔,لاٹری جیتنے کے بعد وہ ساتویں جنت میں تھی۔,Aasmanon par hona,Lottery jeetne ke baad woh Aasmanon par thi.,Lottery jeetne ke baad woh behad khush aur mutmain thi.,Lottery jeetne ke baad woh satwin jannat mein thi.
